Year,Entidad federativa,Sexo,Sexo_ Proporción plazas públicas,GeoCode,Value
2016,Aguascalientes,Total,De 45 a 54 años,8003001,1.02354317842624
2015,Aguascalientes,Total,De 45 a 54 años,8003001,1.40932234479357
2020,Aguascalientes,Total,De 55 a 59 años,8003001,1.21569992061466
2019,Aguascalientes,Total,De 55 a 59 años,8003001,1.20989786743134
2018,Aguascalientes,Total,De 55 a 59 años,8003001,1.3074804123027002
2017,Aguascalientes,Total,De 55 a 59 años,8003001,1.28150437090435
2016,Aguascalientes,Total,De 55 a 59 años,8003001,0.7913219823265979
2015,Aguascalientes,Total,De 55 a 59 años,8003001,1.1311549362431703
2020,Aguascalientes,Total,De 60 años y más,8003001,0.650008717559161
2019,Aguascalientes,Total,De 60 años y más,8003001,0.642104495714113
2018,Aguascalientes,Total,De 60 años y más,8003001,0.688735461621814
2017,Aguascalientes,Total,De 60 años y más,8003001,0.8243253222044677
2016,Aguascalientes,Total,De 60 años y más,8003001,0.601664885978367
2015,Aguascalientes,Total,De 60 años y más,8003001,0.868940379814907
2020,Aguascalientes,Hombres,Total,8003001,0.8722710819699409
2019,Aguascalientes,Hombres,Total,8003001,0.8711436750918401
2018,Aguascalientes,Hombres,Total,8003001,0.8984314487268759
2017,Aguascalientes,Hombres,Total,8003001,1.0077284958114203
2016,Aguascalientes,Hombres,Total,8003001,1.06347407602539
2015,Aguascalientes,Hombres,Total,8003001,1.04903766189437
2020,Aguascalientes,Hombres,Menores de 25 años,8003001,0.184136587508461
2019,Aguascalientes,Hombres,Menores de 25 años,8003001,0.170156682134833
2018,Aguascalientes,Hombres,Menores de 25 años,8003001,0.121101451536333
2017,Aguascalientes,Hombres,Menores de 25 años,8003001,0.174713988826238
2016,Aguascalientes,Hombres,Menores de 25 años,8003001,0.18702875619114
2015,Aguascalientes,Hombres,Menores de 25 años,8003001,0.194883738588482
2020,Aguascalientes,Hombres,De 25 a 34 años,8003001,0.816628759766015
2019,Aguascalientes,Hombres,De 25 a 34 años,8003001,0.8594579185532502
