Year,Entidad federativa,Población nacional,Población urbana,Población rural,GeoCode,Value
2020,Zacatecas,,Hombres,,32,0.823194950197215
2020,Estados Unidos Mexicanos,,Mujeres,,0,0.820426735683481
2020,Aguascalientes,,Mujeres,,1,0.871986300749291
2020,Baja California,,Mujeres,,2,0.8140665911171668
2020,Baja California Sur,,Mujeres,,3,0.732888849291201
2020,Campeche,,Mujeres,,4,0.819160125731865
2020,Coahuila de Zaragoza,,Mujeres,,5,0.822826418192249
2020,Colima,,Mujeres,,6,0.891941224265589
2020,Chiapas,,Mujeres,,7,0.7955318000624919
2020,Chihuahua,,Mujeres,,8,0.772374710043035
2020,Ciudad de México,,Mujeres,,9,0.7875936569106651
2020,Durango,,Mujeres,,10,0.844132908312511
2020,Guanajuato,,Mujeres,,11,0.889512396936912
2020,Guerrero,,Mujeres,,12,0.7905071327738721
2020,Hidalgo,,Mujeres,,13,0.852068214128296
2020,Jalisco,,Mujeres,,14,0.852926183780673
2020,México,,Mujeres,,15,0.768746943355297
2020,Michoacán de Ocampo,,Mujeres,,16,0.868865923932678
2020,Morelos,,Mujeres,,17,0.7161769942059321
2020,Nayarit,,Mujeres,,18,0.836869520056212
2020,Nuevo León,,Mujeres,,19,0.864999619483374
2020,Oaxaca,,Mujeres,,20,0.84790418209852
2020,Puebla,,Mujeres,,21,0.809223308745893
2020,Querétaro,,Mujeres,,22,0.878897605566546
2020,Quintana Roo,,Mujeres,,23,0.793065791858805
2020,San Luis Potosí,,Mujeres,,24,0.87848376519878
2020,Sinaloa,,Mujeres,,25,0.831624703080506
2020,Sonora,,Mujeres,,26,0.820237147265217
2020,Tabasco,,Mujeres,,27,0.810111478776023
2020,Tamaulipas,,Mujeres,,28,0.844645288009023
2020,Tlaxcala,,Mujeres,,29,0.725828777561835
2020,Veracruz de Ignacio de la Llave,,Mujeres,,30,0.821042338720645
2020,Yucatán,,Mujeres,,31,0.868923232813308
2020,Zacatecas,,Mujeres,,32,0.823148453555933
2020,Estados Unidos Mexicanos,,,Total,0,0.6774961314345121
2020,Aguascalientes,,,Total,1,0.6824688762424739
2020,Baja California,,,Total,2,0.7554483840683149
2020,Baja California Sur,,,Total,3,0.725021551036046
2020,Campeche,,,Total,4,0.736664652101791
2020,Coahuila de Zaragoza,,,Total,5,0.7470353792607339
2020,Colima,,,Total,6,0.746731496488385
2020,Chiapas,,,Total,7,0.635108079182836
2020,Chihuahua,,,Total,8,0.643328826835658
2020,Ciudad de México,,,Total,9,0.614150499622254
2020,Durango,,,Total,10,0.596654920918485
2020,Guanajuato,,,Total,11,0.676939145388264
2020,Guerrero,,,Total,12,0.670004754720968
2020,Hidalgo,,,Total,13,0.6777923047563729
2020,Jalisco,,,Total,14,0.78844200349011
2020,México,,,Total,15,0.656399226037767
2020,Michoacán de Ocampo,,,Total,16,0.695746532491615
2020,Morelos,,,Total,17,0.65908516145668
2020,Nayarit,,,Total,18,0.6831942317344689
2020,Nuevo León,,,Total,19,0.816914706642269
2020,Oaxaca,,,Total,20,0.6675922061685021
2020,Puebla,,,Total,21,0.641443643534974
2020,Querétaro,,,Total,22,0.620214550051995
2020,Quintana Roo,,,Total,23,0.7601527200280142
2020,San Luis Potosí,,,Total,24,0.726049382825218
2020,Sinaloa,,,Total,25,0.561557453561953
2020,Sonora,,,Total,26,0.6723961687770691
2020,Tabasco,,,Total,27,0.64354546021471
2020,Tamaulipas,,,Total,28,0.715098285062087
2020,Tlaxcala,,,Total,29,0.738754458584702
2020,Veracruz de Ignacio de la Llave,,,Total,30,0.687472886985239
2020,Yucatán,,,Total,31,0.720750752225713
2020,Zacatecas,,,Total,32,0.694799085833309
2020,Estados Unidos Mexicanos,,,Hombres,0,0.676483367189506
2020,Aguascalientes,,,Hombres,1,0.68107469439638
2020,Baja California,,,Hombres,2,0.75901125991072
2020,Baja California Sur,,,Hombres,3,0.725465697410268
2020,Campeche,,,Hombres,4,0.72993012902428
2020,Coahuila de Zaragoza,,,Hombres,5,0.747453892338107
2020,Colima,,,Hombres,6,0.747538387953357
2020,Chiapas,,,Hombres,7,0.633959481844396
2020,Chihuahua,,,Hombres,8,0.64462563633068
2020,Ciudad de México,,,Hombres,9,0.613359985462475
2020,Durango,,,Hombres,10,0.596668688881694
2020,Guanajuato,,,Hombres,11,0.678022424763792
2020,Guerrero,,,Hombres,12,0.668654712714508
2020,Hidalgo,,,Hombres,13,0.677556434088025
2020,Jalisco,,,Hombres,14,0.7889524918046199
2020,México,,,Hombres,15,0.65440532103786
2020,Michoacán de Ocampo,,,Hombres,16,0.6950116201457192
2020,Morelos,,,Hombres,17,0.656290439083904
2020,Nayarit,,,Hombres,18,0.680283804416161
2020,Nuevo León,,,Hombres,19,0.8175806661872741
2020,Oaxaca,,,Hombres,20,0.66650850963191
2020,Puebla,,,Hombres,21,0.639779539505055
