Year,Entidad federativa,Municipio,"Edades de 15 a 24 años","Sexo",GeoCode,Value
2017,"Aguascalientes","Aguascalientes","15-19 años","Hombres",010010001,4.779132198
2022,"Aguascalientes","Aguascalientes","15-19 años","Mujeres",010010001,4.88519467
2021,"Aguascalientes","Aguascalientes","15-19 años","Mujeres",010010001,5.630944233
2020,"Aguascalientes","Aguascalientes","15-19 años","Mujeres",010010001,5.257340242
2019,"Aguascalientes","Aguascalientes","15-19 años","Mujeres",010010001,6.14436355
2018,"Aguascalientes","Aguascalientes","15-19 años","Mujeres",010010001,5.217255532
2017,"Aguascalientes","Aguascalientes","15-19 años","Mujeres",010010001,3.331580271
2022,"Aguascalientes","Aguascalientes","20-24 años","Total",010010001,9.049268493
2021,"Aguascalientes","Aguascalientes","20-24 años","Total",010010001,9.040523351
2020,"Aguascalientes","Aguascalientes","20-24 años","Total",010010001,10.74141996
2019,"Aguascalientes","Aguascalientes","20-24 años","Total",010010001,7.934416289
2018,"Aguascalientes","Aguascalientes","20-24 años","Total",010010001,7.450282347
2017,"Aguascalientes","Aguascalientes","20-24 años","Total",010010001,7.172256658
2022,"Aguascalientes","Aguascalientes","20-24 años","Hombres",010010001,6.540475047
2021,"Aguascalientes","Aguascalientes","20-24 años","Hombres",010010001,8.099982821
2020,"Aguascalientes","Aguascalientes","20-24 años","Hombres",010010001,8.881284666
2019,"Aguascalientes","Aguascalientes","20-24 años","Hombres",010010001,6.124944964
2018,"Aguascalientes","Aguascalientes","20-24 años","Hombres",010010001,6.254330013
2017,"Aguascalientes","Aguascalientes","20-24 años","Hombres",010010001,5.427120816
2022,"Aguascalientes","Aguascalientes","20-24 años","Mujeres",010010001,11.54221849
2021,"Aguascalientes","Aguascalientes","20-24 años","Mujeres",010010001,10.09643202
2020,"Aguascalientes","Aguascalientes","20-24 años","Mujeres",010010001,12.6720676
2019,"Aguascalientes","Aguascalientes","20-24 años","Mujeres",010010001,9.585469133
2018,"Aguascalientes","Aguascalientes","20-24 años","Mujeres",010010001,8.714426403
2017,"Aguascalientes","Aguascalientes","20-24 años","Mujeres",010010001,8.896736483
2022,"Baja California",,"15-24 años","Total",02,6.010452962
2021,"Baja California",,"15-24 años","Total",02,6.819610918
2020,"Baja California",,"15-24 años","Total",02,6.4614869
2019,"Baja California",,"15-24 años","Total",02,5.884093867
2018,"Baja California",,"15-24 años","Total",02,6.221482545
2017,"Baja California",,"15-24 años","Total",02,6.258874377
2022,"Baja California",,"15-24 años","Hombres",02,5.911045856
2021,"Baja California",,"15-24 años","Hombres",02,5.704000257
2020,"Baja California",,"15-24 años","Hombres",02,5.479044761
2019,"Baja California",,"15-24 años","Hombres",02,5.221094438
2018,"Baja California",,"15-24 años","Hombres",02,5.011482161
2017,"Baja California",,"15-24 años","Hombres",02,5.124263678
2022,"Baja California",,"15-24 años","Mujeres",02,6.109846879
2021,"Baja California",,"15-24 años","Mujeres",02,7.984198894
2020,"Baja California",,"15-24 años","Mujeres",02,7.450086518
2019,"Baja California",,"15-24 años","Mujeres",02,6.548802417
2018,"Baja California",,"15-24 años","Mujeres",02,7.506152938
2017,"Baja California",,"15-24 años","Mujeres",02,7.446391679
2022,"Baja California",,"15-19 años","Total",02,4.641521027
2021,"Baja California",,"15-19 años","Total",02,4.717960448
2020,"Baja California",,"15-19 años","Total",02,4.410793429
2019,"Baja California",,"15-19 años","Total",02,4.63250605
2018,"Baja California",,"15-19 años","Total",02,4.86403022
2017,"Baja California",,"15-19 años","Total",02,4.905466957
2022,"Baja California",,"15-19 años","Hombres",02,5.279298254
2021,"Baja California",,"15-19 años","Hombres",02,4.67338295
2020,"Baja California",,"15-19 años","Hombres",02,4.4029298
2019,"Baja California",,"15-19 años","Hombres",02,4.823745621
2018,"Baja California",,"15-19 años","Hombres",02,5.080766984
2017,"Baja California",,"15-19 años","Hombres",02,4.117509351
2022,"Baja California",,"15-19 años","Mujeres",02,4.013905907
2021,"Baja California",,"15-19 años","Mujeres",02,4.768891692
2020,"Baja California",,"15-19 años","Mujeres",02,4.41889871
2019,"Baja California",,"15-19 años","Mujeres",02,4.43596239
2018,"Baja California",,"15-19 años","Mujeres",02,4.633353874
2017,"Baja California",,"15-19 años","Mujeres",02,5.81181274
2022,"Baja California",,"20-24 años","Total",02,7.392017433
2021,"Baja California",,"20-24 años","Total",02,9.00127546
2020,"Baja California",,"20-24 años","Total",02,8.634063867
2019,"Baja California",,"20-24 años","Total",02,7.189740097
2018,"Baja California",,"20-24 años","Total",02,7.660054181
2017,"Baja California",,"20-24 años","Total",02,7.601563651
2022,"Baja California",,"20-24 años","Hombres",02,6.539620818
2021,"Baja California",,"20-24 años","Hombres",02,6.860998516
2020,"Baja California",,"20-24 años","Hombres",02,6.651550961
2019,"Baja California",,"20-24 años","Hombres",02,5.646167187
2018,"Baja California",,"20-24 años","Hombres",02,4.937905737
2017,"Baja California",,"20-24 años","Hombres",02,6.219030648
2022,"Baja California",,"20-24 años","Mujeres",02,8.257325376
2021,"Baja California",,"20-24 años","Mujeres",02,11.06086853
2020,"Baja California",,"20-24 años","Mujeres",02,10.57208868
2019,"Baja California",,"20-24 años","Mujeres",02,8.698049367
2018,"Baja California",,"20-24 años","Mujeres",02,10.54267697
2017,"Baja California",,"20-24 años","Mujeres",02,8.919501569
2022,"Baja California","Ensenada","15-24 años","Total",020010001,
2021,"Baja California","Ensenada","15-24 años","Total",020010001,
2020,"Baja California","Ensenada","15-24 años","Total",020010001,
2019,"Baja California","Ensenada","15-24 años","Total",020010001,
2018,"Baja California","Ensenada","15-24 años","Total",020010001,
2017,"Baja California","Ensenada","15-24 años","Total",020010001,
2022,"Baja California","Ensenada","15-24 años","Hombres",020010001,
2021,"Baja California","Ensenada","15-24 años","Hombres",020010001,
2020,"Baja California","Ensenada","15-24 años","Hombres",020010001,
