Year,Entidad federativa,"Violencia sexual","Lugar de la(s) agresión(es)",GeoCode,Value
2016,"Sonora",,"Calle o parque",26,76.1014219363355
2011,"Sonora",,"Calle o parque",26,87.8872115265526
2021,"Tabasco",,"Calle o parque",27,75.6725616008287
2016,"Tabasco",,"Calle o parque",27,76.2972190470976
2011,"Tabasco",,"Calle o parque",27,93.8430467397576
2021,"Tamaulipas",,"Calle o parque",28,80.2326682726954
2016,"Tamaulipas",,"Calle o parque",28,74.9991668980839
2011,"Tamaulipas",,"Calle o parque",28,87.7084620135886
2021,"Tlaxcala",,"Calle o parque",29,79.7347032002827
2016,"Tlaxcala",,"Calle o parque",29,80.6889778984188
2011,"Tlaxcala",,"Calle o parque",29,92.2414235167427
2021,"Veracruz de Ignacio de la Llave",,"Calle o parque",30,74.9727173517643
2016,"Veracruz de Ignacio de la Llave",,"Calle o parque",30,74.9429704697357
2011,"Veracruz de Ignacio de la Llave",,"Calle o parque",30,89.1048151206674
2021,"Yucatán",,"Calle o parque",31,77.5044633097719
2016,"Yucatán",,"Calle o parque",31,78.3640606509694
2011,"Yucatán",,"Calle o parque",31,91.5292906247792
2021,"Zacatecas",,"Calle o parque",32,80.5673265172939
2016,"Zacatecas",,"Calle o parque",32,76.5737582725363
2011,"Zacatecas",,"Calle o parque",32,89.8405851203562
2021,"Estados Unidos Mexicanos",,"Transporte público <sup>1</sup>",00,27.2346124099719
2016,"Estados Unidos Mexicanos",,"Transporte público <sup>1</sup>",00,26.4624446188072
2011,"Estados Unidos Mexicanos",,"Transporte público <sup>1</sup>",00,12.7032963908841
2021,"Aguascalientes",,"Transporte público <sup>1</sup>",01,23.8522743515222
2016,"Aguascalientes",,"Transporte público <sup>1</sup>",01,24.394501081248098
2011,"Aguascalientes",,"Transporte público <sup>1</sup>",01,9.11170945681166
2021,"Baja California",,"Transporte público <sup>1</sup>",02,16.8818108681343
2016,"Baja California",,"Transporte público <sup>1</sup>",02,10.8976188799134
2011,"Baja California",,"Transporte público <sup>1</sup>",02,6.25130018722696
2021,"Baja California Sur",,"Transporte público <sup>1</sup>",03,14.533996282246997
2016,"Baja California Sur",,"Transporte público <sup>1</sup>",03,8.40548598688133
2011,"Baja California Sur",,"Transporte público <sup>1</sup>",03,1.68897739425453
2021,"Campeche",,"Transporte público <sup>1</sup>",04,16.671048080249
2016,"Campeche",,"Transporte público <sup>1</sup>",04,9.01958131827251
2011,"Campeche",,"Transporte público <sup>1</sup>",04,3.90128731238406
2021,"Coahuila de Zaragoza",,"Transporte público <sup>1</sup>",05,18.7299984823591
2016,"Coahuila de Zaragoza",,"Transporte público <sup>1</sup>",05,14.1373233610219
2011,"Coahuila de Zaragoza",,"Transporte público <sup>1</sup>",05,4.14062889675861
2021,"Colima",,"Transporte público <sup>1</sup>",06,17.4657277698704
2016,"Colima",,"Transporte público <sup>1</sup>",06,14.1955835962145
2011,"Colima",,"Transporte público <sup>1</sup>",06,2.37912888801048
