Year,Entidad federativa,"Jóvenes de 15 a 24 años","Jóvenes de 15 a 19 años","Jóvenes de 20 a 24 años",GeoCode,Value
2019,"Sonora","En áreas más urbanizadas",,,26,7.350524228
2018,"Sonora","En áreas más urbanizadas",,,26,6.85117385
2017,"Sonora","En áreas más urbanizadas",,,26,6.040740718
2022,"Tabasco","En áreas más urbanizadas",,,27,6.876114744
2021,"Tabasco","En áreas más urbanizadas",,,27,7.869273846
2020,"Tabasco","En áreas más urbanizadas",,,27,7.57535904
2019,"Tabasco","En áreas más urbanizadas",,,27,7.3243674
2018,"Tabasco","En áreas más urbanizadas",,,27,6.75408395
2017,"Tabasco","En áreas más urbanizadas",,,27,7.86695564
2022,"Tamaulipas","En áreas más urbanizadas",,,28,6.36146855
2021,"Tamaulipas","En áreas más urbanizadas",,,28,6.75546018
2020,"Tamaulipas","En áreas más urbanizadas",,,28,6.716756892
2019,"Tamaulipas","En áreas más urbanizadas",,,28,7.580388162
2018,"Tamaulipas","En áreas más urbanizadas",,,28,7.777197708
2017,"Tamaulipas","En áreas más urbanizadas",,,28,6.343462284
2022,"Tlaxcala","En áreas más urbanizadas",,,29,0
2021,"Tlaxcala","En áreas más urbanizadas",,,29,0
2020,"Tlaxcala","En áreas más urbanizadas",,,29,0
2019,"Tlaxcala","En áreas más urbanizadas",,,29,0
2018,"Tlaxcala","En áreas más urbanizadas",,,29,0
2017,"Tlaxcala","En áreas más urbanizadas",,,29,0
2022,"Veracruz de Ignacio de la Llave","En áreas más urbanizadas",,,30,7.007284255
2021,"Veracruz de Ignacio de la Llave","En áreas más urbanizadas",,,30,10.69475451
2020,"Veracruz de Ignacio de la Llave","En áreas más urbanizadas",,,30,8.08684226
2019,"Veracruz de Ignacio de la Llave","En áreas más urbanizadas",,,30,8.132593067
2018,"Veracruz de Ignacio de la Llave","En áreas más urbanizadas",,,30,8.121262048
2017,"Veracruz de Ignacio de la Llave","En áreas más urbanizadas",,,30,8.502622596
2022,"Yucatán","En áreas más urbanizadas",,,31,3.82417171
2021,"Yucatán","En áreas más urbanizadas",,,31,5.052938607
2020,"Yucatán","En áreas más urbanizadas",,,31,6.067355724
2019,"Yucatán","En áreas más urbanizadas",,,31,4.073217472
2018,"Yucatán","En áreas más urbanizadas",,,31,3.913804714
2017,"Yucatán","En áreas más urbanizadas",,,31,4.681064121
2022,"Zacatecas","En áreas más urbanizadas",,,32,5.495475879
2021,"Zacatecas","En áreas más urbanizadas",,,32,5.100824081
2020,"Zacatecas","En áreas más urbanizadas",,,32,5.587088258
2019,"Zacatecas","En áreas más urbanizadas",,,32,4.609562315
2018,"Zacatecas","En áreas más urbanizadas",,,32,5.240572012
2017,"Zacatecas","En áreas más urbanizadas",,,32,5.438982272
2022,"Estados Unidos Mexicanos","En áreas menos urbanizadas",,,00,7.636389426
2021,"Estados Unidos Mexicanos","En áreas menos urbanizadas",,,00,8.738791485
2020,"Estados Unidos Mexicanos","En áreas menos urbanizadas",,,00,8.986282707
2019,"Estados Unidos Mexicanos","En áreas menos urbanizadas",,,00,7.959007661
2018,"Estados Unidos Mexicanos","En áreas menos urbanizadas",,,00,7.190656227
2017,"Estados Unidos Mexicanos","En áreas menos urbanizadas",,,00,7.430778598
2022,"Aguascalientes","En áreas menos urbanizadas",,,01,8.429333824
2021,"Aguascalientes","En áreas menos urbanizadas",,,01,8.276071419
2020,"Aguascalientes","En áreas menos urbanizadas",,,01,9.271553797
2019,"Aguascalientes","En áreas menos urbanizadas",,,01,7.571558745
2018,"Aguascalientes","En áreas menos urbanizadas",,,01,7.161719448
2017,"Aguascalientes","En áreas menos urbanizadas",,,01,6.770624319
2022,"Baja California","En áreas menos urbanizadas",,,02,6.41609292
2021,"Baja California","En áreas menos urbanizadas",,,02,7.48705097
2020,"Baja California","En áreas menos urbanizadas",,,02,8.064264934
2019,"Baja California","En áreas menos urbanizadas",,,02,8.253513826
2018,"Baja California","En áreas menos urbanizadas",,,02,7.205009398
2017,"Baja California","En áreas menos urbanizadas",,,02,5.775030251
2022,"Baja California Sur","En áreas menos urbanizadas",,,03,5.548677314
2021,"Baja California Sur","En áreas menos urbanizadas",,,03,6.81093815
2020,"Baja California Sur","En áreas menos urbanizadas",,,03,9.722143561
2019,"Baja California Sur","En áreas menos urbanizadas",,,03,7.141932561
2018,"Baja California Sur","En áreas menos urbanizadas",,,03,5.003919379
2017,"Baja California Sur","En áreas menos urbanizadas",,,03,6.905171244
2022,"Campeche","En áreas menos urbanizadas",,,04,4.091761456
2021,"Campeche","En áreas menos urbanizadas",,,04,5.402019219
2020,"Campeche","En áreas menos urbanizadas",,,04,6.57951187
2019,"Campeche","En áreas menos urbanizadas",,,04,5.419049214
2018,"Campeche","En áreas menos urbanizadas",,,04,5.73043563
2017,"Campeche","En áreas menos urbanizadas",,,04,5.056563117
2022,"Coahuila de Zaragoza","En áreas menos urbanizadas",,,05,7.258670496
2021,"Coahuila de Zaragoza","En áreas menos urbanizadas",,,05,8.858722496
2020,"Coahuila de Zaragoza","En áreas menos urbanizadas",,,05,9.062957622
2019,"Coahuila de Zaragoza","En áreas menos urbanizadas",,,05,8.171082546
2018,"Coahuila de Zaragoza","En áreas menos urbanizadas",,,05,6.464078596
2017,"Coahuila de Zaragoza","En áreas menos urbanizadas",,,05,7.984946263
2022,"Colima","En áreas menos urbanizadas",,,06,7.355170368
2021,"Colima","En áreas menos urbanizadas",,,06,7.749624222
2020,"Colima","En áreas menos urbanizadas",,,06,7.819734104
2019,"Colima","En áreas menos urbanizadas",,,06,9.153044748
2018,"Colima","En áreas menos urbanizadas",,,06,6.679925931
2017,"Colima","En áreas menos urbanizadas",,,06,8.247028098
2022,"Chiapas","En áreas menos urbanizadas",,,07,6.691063112
2021,"Chiapas","En áreas menos urbanizadas",,,07,7.880105294
2020,"Chiapas","En áreas menos urbanizadas",,,07,9.061927794
2019,"Chiapas","En áreas menos urbanizadas",,,07,8.082282351
2018,"Chiapas","En áreas menos urbanizadas",,,07,6.634489463
2017,"Chiapas","En áreas menos urbanizadas",,,07,6.547179002
2022,"Chihuahua","En áreas menos urbanizadas",,,08,10.23250981
2021,"Chihuahua","En áreas menos urbanizadas",,,08,10.08501742
2020,"Chihuahua","En áreas menos urbanizadas",,,08,10.91794556
2019,"Chihuahua","En áreas menos urbanizadas",,,08,11.61554446
2018,"Chihuahua","En áreas menos urbanizadas",,,08,8.906968655
2017,"Chihuahua","En áreas menos urbanizadas",,,08,10.97375127
2022,"Ciudad de México","En áreas menos urbanizadas",,,09,3.474499807
2021,"Ciudad de México","En áreas menos urbanizadas",,,09,11.67903678
2020,"Ciudad de México","En áreas menos urbanizadas",,,09,12.40430922
2019,"Ciudad de México","En áreas menos urbanizadas",,,09,9.057645198
2018,"Ciudad de México","En áreas menos urbanizadas",,,09,4.575906032
2017,"Ciudad de México","En áreas menos urbanizadas",,,09,9.285506262
2022,"Durango","En áreas menos urbanizadas",,,10,8.019096425
2021,"Durango","En áreas menos urbanizadas",,,10,8.020518814
2020,"Durango","En áreas menos urbanizadas",,,10,7.690222422
2019,"Durango","En áreas menos urbanizadas",,,10,9.555191573
2018,"Durango","En áreas menos urbanizadas",,,10,9.456543609
