Year,Entidad federativa,Principales ciudades,"Habilidades para uso de PC",GeoCode,Value
2018,"Campeche","Campeche","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",040020001,31.041308732352302
2017,"Campeche","Campeche","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",040020001,33.043327688077795
2016 P/,"Campeche","Campeche","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",040020001,33.4858531415203
2018,"Coahuila de Zaragoza",,"Copiar archivos entre carpetas",05,31.345407084177896
2017,"Coahuila de Zaragoza",,"Copiar archivos entre carpetas",05,33.2974654821167
2016 P/,"Coahuila de Zaragoza",,"Copiar archivos entre carpetas",05,35.2928085612455
2018,"Coahuila de Zaragoza",,"Crear archivos de texto",05,33.9902813572906
2017,"Coahuila de Zaragoza",,"Crear archivos de texto",05,35.0001052402635
2016 P/,"Coahuila de Zaragoza",,"Crear archivos de texto",05,36.6126547963773
2018,"Coahuila de Zaragoza",,"Crear hojas de cálculo",05,26.8758578243591
2017,"Coahuila de Zaragoza",,"Crear hojas de cálculo",05,27.768031257466095
2016 P/,"Coahuila de Zaragoza",,"Crear hojas de cálculo",05,25.1705770663321
2018,"Coahuila de Zaragoza",,"Crear presentaciones",05,28.694636548167598
2017,"Coahuila de Zaragoza",,"Crear presentaciones",05,31.2192841520349
2016 P/,"Coahuila de Zaragoza",,"Crear presentaciones",05,30.771755507138398
2018,"Coahuila de Zaragoza",,"Crear / usar base de datos",05,19.6530449648281
2017,"Coahuila de Zaragoza",,"Crear / usar base de datos",05,20.355977960842498
2016 P/,"Coahuila de Zaragoza",,"Crear / usar base de datos",05,25.830518853746
2018,"Coahuila de Zaragoza",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",05,36.9515884059089
2017,"Coahuila de Zaragoza",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",05,39.5285014635782
2016 P/,"Coahuila de Zaragoza",,"Descargar contenidos de Internet (música, videos, documentos, etcétera)",05,43.0882915782183
2018,"Coahuila de Zaragoza",,"Enviar y recibir correo electrónico",05,34.3290980937964
2017,"Coahuila de Zaragoza",,"Enviar y recibir correo electrónico",05,35.3207003167178
2016 P/,"Coahuila de Zaragoza",,"Enviar y recibir correo electrónico",05,36.0958360637986
2018,"Coahuila de Zaragoza",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",05,23.6162435491426
2017,"Coahuila de Zaragoza",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",05,25.8322750840168
2016 P/,"Coahuila de Zaragoza",,"Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",05,24.1356327118141
2018,"Coahuila de Zaragoza","Saltillo","Copiar archivos entre carpetas",050300001,37.1454454418285
2017,"Coahuila de Zaragoza","Saltillo","Copiar archivos entre carpetas",050300001,39.5820946680817
2016 P/,"Coahuila de Zaragoza","Saltillo","Copiar archivos entre carpetas",050300001,41.3327163970923
2018,"Coahuila de Zaragoza","Saltillo","Crear archivos de texto",050300001,38.9470600684461
2017,"Coahuila de Zaragoza","Saltillo","Crear archivos de texto",050300001,42.89211582701089
2016 P/,"Coahuila de Zaragoza","Saltillo","Crear archivos de texto",050300001,43.4737533864435
2018,"Coahuila de Zaragoza","Saltillo","Crear hojas de cálculo",050300001,31.9395908717848
2017,"Coahuila de Zaragoza","Saltillo","Crear hojas de cálculo",050300001,35.252094470334704
2016 P/,"Coahuila de Zaragoza","Saltillo","Crear hojas de cálculo",050300001,32.1488157506505
2018,"Coahuila de Zaragoza","Saltillo","Crear presentaciones",050300001,34.6207847044067
2017,"Coahuila de Zaragoza","Saltillo","Crear presentaciones",050300001,37.2120309276312
2016 P/,"Coahuila de Zaragoza","Saltillo","Crear presentaciones",050300001,36.934765698345
2018,"Coahuila de Zaragoza","Saltillo","Crear / usar base de datos",050300001,26.2024529110252
2017,"Coahuila de Zaragoza","Saltillo","Crear / usar base de datos",050300001,27.585838677995397
2016 P/,"Coahuila de Zaragoza","Saltillo","Crear / usar base de datos",050300001,32.0120168450417
2018,"Coahuila de Zaragoza","Saltillo","Descargar contenidos de Internet (música, videos, documentos, etcétera)",050300001,43.1633880317351
2017,"Coahuila de Zaragoza","Saltillo","Descargar contenidos de Internet (música, videos, documentos, etcétera)",050300001,47.846073733265705
2016 P/,"Coahuila de Zaragoza","Saltillo","Descargar contenidos de Internet (música, videos, documentos, etcétera)",050300001,50.50441243528869
2018,"Coahuila de Zaragoza","Saltillo","Enviar y recibir correo electrónico",050300001,39.7781178863257
2017,"Coahuila de Zaragoza","Saltillo","Enviar y recibir correo electrónico",050300001,41.6600201701943
2016 P/,"Coahuila de Zaragoza","Saltillo","Enviar y recibir correo electrónico",050300001,44.6836190016362
2018,"Coahuila de Zaragoza","Saltillo","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",050300001,29.5234580264183
2017,"Coahuila de Zaragoza","Saltillo","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",050300001,32.3257024962263
2016 P/,"Coahuila de Zaragoza","Saltillo","Instalar dispositivos periféricos (impresoras, proyectores, etcétera)",050300001,29.3123843244548
2018,"Coahuila de Zaragoza","Torreón","Copiar archivos entre carpetas",050350001,36.862965656756
