Year,Entidad federativa,"Sexo","Grupos de edad en plazas del Poder judicial",GeoCode,Value
2020,"Coahuila de Zaragoza","Mujeres","De 25 a 34 años",8103005,0.620145984032335
2019,"Coahuila de Zaragoza","Mujeres","De 25 a 34 años",8103005,0.765548822646438
2020,"Coahuila de Zaragoza","Mujeres","De 35 a 44 años",8103005,1.3815430304675298
2019,"Coahuila de Zaragoza","Mujeres","De 35 a 44 años",8103005,1.07516185212555
2020,"Coahuila de Zaragoza","Mujeres","De 45 a 54 años",8103005,2.39438307702018
2019,"Coahuila de Zaragoza","Mujeres","De 45 a 54 años",8103005,2.4941799603723998
2020,"Coahuila de Zaragoza","Mujeres","De 55 a 59 años",8103005,0.367976458150695
2019,"Coahuila de Zaragoza","Mujeres","De 55 a 59 años",8103005,0.588515279506459
2020,"Coahuila de Zaragoza","Mujeres","De 60 años y más",8103005,0.745209875017185
2019,"Coahuila de Zaragoza","Mujeres","De 60 años y más",8103005,0.7382327536789821
2020,"Colima","Total","Total",8103006,1
2019,"Colima","Total","Total",8103006,1
2020,"Colima","Total","De 18 a 24 años",8103006,0
2019,"Colima","Total","De 18 a 24 años",8103006,0.04186538127844701
2020,"Colima","Total","De 25 a 34 años",8103006,0.786582928479183
2019,"Colima","Total","De 25 a 34 años",8103006,0.8419854967037421
2020,"Colima","Total","De 35 a 44 años",8103006,1.54759312026232
2019,"Colima","Total","De 35 a 44 años",8103006,1.4643947239000903
2020,"Colima","Total","De 45 a 54 años",8103006,1.8332759095920603
2019,"Colima","Total","De 45 a 54 años",8103006,1.83558519643566
2020,"Colima","Total","De 55 a 59 años",8103006,0.8421216610233258
2019,"Colima","Total","De 55 a 59 años",8103006,0.674076379079144
2020,"Colima","Total","De 60 años y más",8103006,0.8072596169017638
2019,"Colima","Total","De 60 años y más",8103006,0.9174861739567619
2020,"Colima","Hombres","Total",8103006,0.9479013237732631
2019,"Colima","Hombres","Total",8103006,0.969674995520027
2020,"Colima","Hombres","De 18 a 24 años",8103006,0
2019,"Colima","Hombres","De 18 a 24 años",8103006,0
