Year,Sexo (t-h-m-na),Residencia habitual fuera de México o no especificada,Value
1992,Hombres,Países latinoamericanos,0
1991,Hombres,Países latinoamericanos,0
1990,Hombres,Países latinoamericanos,0
2020,Hombres,Otros países,0
2019,Hombres,Otros países,0
2018,Hombres,Otros países,0
2017,Hombres,Otros países,0
2016,Hombres,Otros países,0
2015,Hombres,Otros países,0
2014,Hombres,Otros países,1
2013,Hombres,Otros países,1
2012,Hombres,Otros países,1
2011,Hombres,Otros países,0
2010,Hombres,Otros países,0
2009,Hombres,Otros países,0
2008,Hombres,Otros países,0
2007,Hombres,Otros países,0
2006,Hombres,Otros países,0
2005,Hombres,Otros países,0
2004,Hombres,Otros países,0
2003,Hombres,Otros países,0
2002,Hombres,Otros países,0
2001,Hombres,Otros países,0
2000,Hombres,Otros países,0
1999,Hombres,Otros países,0
1998,Hombres,Otros países,0
1997,Hombres,Otros países,0
1996,Hombres,Otros países,0
1995,Hombres,Otros países,0
1994,Hombres,Otros países,0
1993,Hombres,Otros países,0
1992,Hombres,Otros países,0
1991,Hombres,Otros países,0
1990,Hombres,Otros países,0
2020,Hombres,No especificado,0
2019,Hombres,No especificado,0
2018,Hombres,No especificado,0
2017,Hombres,No especificado,0
2016,Hombres,No especificado,0
2015,Hombres,No especificado,0
2014,Hombres,No especificado,0
2013,Hombres,No especificado,0
2012,Hombres,No especificado,0
2011,Hombres,No especificado,0
2010,Hombres,No especificado,0
2009,Hombres,No especificado,0
2008,Hombres,No especificado,0
2007,Hombres,No especificado,0
2006,Hombres,No especificado,0
2005,Hombres,No especificado,0
2004,Hombres,No especificado,0
2003,Hombres,No especificado,0
2002,Hombres,No especificado,0
2001,Hombres,No especificado,0
2000,Hombres,No especificado,0
1999,Hombres,No especificado,0
1998,Hombres,No especificado,0
1997,Hombres,No especificado,0
1996,Hombres,No especificado,0
1995,Hombres,No especificado,0
1994,Hombres,No especificado,0
1993,Hombres,No especificado,0
1992,Hombres,No especificado,0
1991,Hombres,No especificado,0
1990,Hombres,No especificado,0
2020,Mujeres,Estados Unidos de Norteamérica,3
2019,Mujeres,Estados Unidos de Norteamérica,0
2018,Mujeres,Estados Unidos de Norteamérica,2
2017,Mujeres,Estados Unidos de Norteamérica,2
2016,Mujeres,Estados Unidos de Norteamérica,2
2015,Mujeres,Estados Unidos de Norteamérica,6
2014,Mujeres,Estados Unidos de Norteamérica,4
2013,Mujeres,Estados Unidos de Norteamérica,1
2012,Mujeres,Estados Unidos de Norteamérica,0
2011,Mujeres,Estados Unidos de Norteamérica,2
2010,Mujeres,Estados Unidos de Norteamérica,0
2009,Mujeres,Estados Unidos de Norteamérica,1
2008,Mujeres,Estados Unidos de Norteamérica,0
2007,Mujeres,Estados Unidos de Norteamérica,1
2006,Mujeres,Estados Unidos de Norteamérica,1
2005,Mujeres,Estados Unidos de Norteamérica,2
2004,Mujeres,Estados Unidos de Norteamérica,2
2003,Mujeres,Estados Unidos de Norteamérica,3
2002,Mujeres,Estados Unidos de Norteamérica,2
2001,Mujeres,Estados Unidos de Norteamérica,6
2000,Mujeres,Estados Unidos de Norteamérica,1
1999,Mujeres,Estados Unidos de Norteamérica,2
1998,Mujeres,Estados Unidos de Norteamérica,2
1997,Mujeres,Estados Unidos de Norteamérica,1
1996,Mujeres,Estados Unidos de Norteamérica,1
1995,Mujeres,Estados Unidos de Norteamérica,1
1994,Mujeres,Estados Unidos de Norteamérica,1
1993,Mujeres,Estados Unidos de Norteamérica,0
1992,Mujeres,Estados Unidos de Norteamérica,0
