Value,Disaggregation combinations using this value,Number of indicators
Huamuxtitlán,8,2
Huandacareo,8,2
Huaniqueo,8,2
Huanusco,8,2
Huanímaro,8,2
Huaquechula,8,2
Huasca de Ocampo,8,2
Huatabampo,8,2
Huatlatlauca,8,2
Huatusco,8,2
Huauchinango,8,2
Huautepec,8,2
Huautla de Jiménez,8,2
Huautla,8,2
Huayacocotla,8,2
Huazalingo,8,2
Huehuetla,16,2
Huehuetlán el Chico,8,2
Huehuetlán el Grande,8,2
Huehuetlán,8,2
Huehuetoca,8,2
Huehuetán,8,2
Huejotitán,8,2
Huejotzingo,8,2
Huejuquilla el Alto,8,2
Huejutla de Reyes,8,2
Huejúcar,8,2
Huetamo,8,2
Hueyapan de Ocampo,8,2
Hueyapan,16,2
Hueyotlipan,8,2
Hueypoxtla,8,2
Hueytamalco,8,2
Hueytlalpan,8,2
Huhí,8,2
Huichapan,8,2
Huiloapan de Cuauhtémoc,8,2
Huimanguillo,8,2
Huimilpan,8,2
Huiramba,8,2
Huitiupán,8,2
Huitzilac,8,2
Huitzilan de Serdán,8,2
Huitziltepec,8,2
Huitzuco de los Figueroa,8,2
Huixquilucan,8,2
Huixtla,8,2
Huixtán,8,2
Hunucmá,8,2
Huásabas,8,2
Huépac,8,2
Ignacio de la Llave,8,2
Ignacio Zaragoza,8,2
Iguala de la Independencia,8,2
Igualapa,8,2
Ilamatlán,8,2
Iliatenco,8,2
Imuris,8,2
Indaparapeo,8,2
Indé,8,2
Irapuato,8,2
Irimbo,8,2
Isidro Fabela,8,2
Isla Mujeres,8,2
Isla,8,2
Iturbide,8,2
Ixcamilpa de Guerrero,8,2
Ixcaquixtla,8,2
Ixcateopan de Cuauhtémoc,8,2
Ixcatepec,8,2
Ixhuacán de los Reyes,8,2
Ixhuatlancillo,8,2
Ixhuatlán de Madero,8,2
Ixhuatlán del Café,8,2
Ixhuatlán del Sureste,8,2
Ixhuatán,8,2
Ixil,8,2
Ixmatlahuacan,8,2
Ixmiquilpan,8,2
Ixpantepec Nieves,8,2
Ixtacamaxtitlán,8,2
Ixtacomitán,8,2
Ixtacuixtla de Mariano Matamoros,8,2
Ixtaczoquitlán,8,2
Ixtapa,8,2
Ixtapaluca,8,2
Ixtapan de la Sal,8,2
Ixtapan del Oro,8,2
Ixtapangajoya,8,2
Ixtenco,8,2
Ixtepec,8,2
Ixtlahuaca,8,2
Ixtlahuacán de los Membrillos,8,2
Ixtlahuacán del Río,8,2
Ixtlahuacán,8,2
Ixtlán de Juárez,8,2
Ixtlán del Río,8,2
Ixtlán,8,2
Izamal,8,2
Iztacalco,8,2
Iztapalapa,8,2
Izúcar de Matamoros,8,2
Jacala de Ledezma,8,2
Jacona,8,2
Jala,8,2
Jalacingo,8,2
Jalapa,8,2
Jalcomulco,8,2
Jalostotitlán,8,2
Jalpa de Méndez,8,2
Jalpa,8,2
Jalpan de Serra,8,2
Jalpan,8,2
Jaltenco,8,2
Jaltocán,8,2
Jamapa,8,2
Jamay,8,2
Janos,8,2
Jantetelco,8,2
Jaral del Progreso,8,2
Jaumave,8,2
Jerez,8,2
Jerécuaro,8,2
Jesús Carranza,8,2
Jesús María,16,2
Jilotepec,16,2
Jilotlán de los Dolores,8,2
Jilotzingo,8,2
Jiménez del Teul,8,2
Jiménez,32,2
Jiquilpan,8,2
Jiquipilas,8,2
Jiquipilco,8,2
Jitotol,8,2
Jiutepec,8,2
Jocotepec,8,2
Jocotitlán,8,2
Jojutla,8,2
Jolalpan,8,2
Jonacatepec,8,2
Jonotla,8,2
Jonuta,8,2
Jopala,8,2
Joquicingo,8,2
José Azueta,8,2
José Joaquín de Herrera,8,2
José María Morelos,8,2
José Sixto Verduzco,8,2
Juan Aldama,8,2
Juan C. Bonilla,8,2
Juan Galindo,8,2
Juan N. Méndez,8,2
Juan R. Escudero,8,2
Juan Rodríguez Clara,8,2
Juanacatlán,8,2
Juchipila,8,2
Juchique de Ferrer,8,2
Juchitepec,8,2
Juchitlán,8,2
Juchitán,8,2
Julimes,8,2
Jungapeo,8,2
Juárez Hidalgo,8,2
Juárez,40,2
Jáltipan,8,2
Kanasín,8,2
Kantunil,8,2
Kaua,8,2
Kinchil,8,2
Kopomá,8,2
La Antigua,8,2
La Barca,8,2
La Colorada,8,2
La Compañía,8,2
La Concordia,8,2
La Cruz,8,2
La Grandeza,8,2
La Huacana,8,2
La Huerta,8,2
La Independencia,8,2
La Libertad,8,2
La Magdalena Contreras,8,2
La Magdalena Tlaltelulco,8,2
La Magdalena Tlatlauquitepec,8,2
La Manzanilla de la Paz,8,2
La Misión,8,2
La Paz,16,2
La Pe,8,2
La Perla,8,2
La Piedad,8,2
La Reforma,8,2
La Trinidad Vista Hermosa,8,2
La Trinitaria,8,2
La Unión de Isidoro Montes de Oca,8,2
La Yesca,8,2
Lafragua,8,2
Lagos de Moreno,8,2
Lagunillas,16,2
Lamadrid,8,2
Lampazos de Naranjo,8,2
Landa de Matamoros,8,2
Landero y Coss,8,2
Larráinzar,8,2
Las Choapas,8,2
Las Margaritas,8,2
Las Minas,8,2
Las Rosas,8,2
Las Vigas de Ramírez,8,2
Leonardo Bravo,8,2
Lerdo de Tejada,8,2
Lerdo,8,2
Lerma,8,2
León,8,2
Libres,8,2
Linares,8,2
Llera,8,2
Lolotla,8,2
Loma Bonita,8,2
Loreto,16,2
Los Aldamas,8,2
Los Cabos,8,2
Los Herreras,8,2
Los Ramones,8,2
Los Reyes de Juárez,8,2
Los Reyes,16,2
Luis Moya,8,2
Luvianos,8,2
Lázaro Cárdenas,24,2
López,8,2
Macuspana,8,2
Madera,8,2
Madero,8,2
Magdalena Apasco,8,2
Magdalena Jaltepec,8,2
Magdalena Mixtepec,8,2
Magdalena Ocotlán,8,2
Magdalena Peñasco,8,2
Magdalena Teitipac,8,2
Magdalena Tequisistlán,8,2
Magdalena Tlacotepec,8,2
Magdalena Yodocono de Porfirio Díaz,8,2
Magdalena Zahuatlán,8,2
Magdalena,24,2
Maguarichi,8,2
Mainero,8,2
Malinalco,8,2
Malinaltepec,8,2
Maltrata,8,2
Mama,8,2
Manlio Fabio Altamirano,8,2
Manuel Benavides,8,2
Manuel Doblado,8,2
Manzanillo,8,2
Maní,8,2
Mapastepec,8,2
Mapimí,8,2
Maravatío,8,2
Maravilla Tenejapa,8,2
Marcos Castellanos,8,2
Mariano Escobedo,8,2
Mariscala de Juárez,8,2
Marquelia,8,2
Marqués de Comillas,8,2
Martínez de la Torre,8,2
Marín,8,2
Mascota,8,2
Matachí,8,2
Matamoros,24,2
Matehuala,8,2
Matlapa,8,2
Matías Romero Avendaño,8,2
Maxcanú,8,2
Mayapán,8,2
Mazamitla,8,2
Mazapa de Madero,8,2
Mazapil,8,2
Mazapiltepec de Juárez,8,2
Mazatecochco de José María Morelos,8,2
Mazatepec,8,2
Mazatlán Villa de Flores,8,2
Mazatlán,8,2
Mazatán,16,2
Mecatlán,8,2
