Value,Disaggregation combinations using this value,Number of indicators
Hostotipaquillo,3,3
Huachinera,3,3
Huajicori,3,3
Hualahuises,3,3
Huamantla,3,3
Huamuxtitlán,3,3
Huandacareo,3,3
Huaniqueo,3,3
Huanusco,3,3
Huanímaro,3,3
Huaquechula,3,3
Huasca de Ocampo,3,3
Huatabampo,3,3
Huatlatlauca,3,3
Huatusco,3,3
Huauchinango,3,3
Huautepec,3,3
Huautla de Jiménez,3,3
Huautla,3,3
Huayacocotla,3,3
Huazalingo,3,3
Huehuetla,6,3
Huehuetlán el Chico,3,3
Huehuetlán el Grande,3,3
Huehuetlán,3,3
Huehuetoca,3,3
Huehuetán,3,3
Huejotitán,3,3
Huejotzingo,3,3
Huejuquilla el Alto,3,3
Huejutla de Reyes,3,3
Huejúcar,3,3
Huetamo,3,3
Hueyapan de Ocampo,3,3
Hueyapan,6,3
Hueyotlipan,3,3
Hueypoxtla,3,3
Hueytamalco,3,3
Hueytlalpan,3,3
Huhí,3,3
Huichapan,3,3
Huiloapan de Cuauhtémoc,3,3
Huimanguillo,3,3
Huimilpan,3,3
Huiramba,3,3
Huitiupán,3,3
Huitzilac,3,3
Huitzilan de Serdán,3,3
Huitziltepec,3,3
Huitzuco de los Figueroa,3,3
Huixquilucan,3,3
Huixtla,3,3
Huixtán,3,3
Hunucmá,3,3
Huásabas,3,3
Huépac,3,3
Ignacio de la Llave,3,3
Ignacio Zaragoza,3,3
Iguala de la Independencia,3,3
Igualapa,3,3
Ilamatlán,3,3
Iliatenco,3,3
Imuris,3,3
Indaparapeo,3,3
Indé,3,3
Irapuato,3,3
Irimbo,3,3
Isidro Fabela,3,3
Isla Mujeres,3,3
Isla,3,3
Iturbide,3,3
Ixcamilpa de Guerrero,3,3
Ixcaquixtla,3,3
Ixcateopan de Cuauhtémoc,3,3
Ixcatepec,3,3
Ixhuacán de los Reyes,3,3
Ixhuatlancillo,3,3
Ixhuatlán de Madero,3,3
Ixhuatlán del Café,3,3
