Year,Entidad federativa,Municipio,GeoCode,Value
2018,Querétaro,Querétaro,220140001,67.4205993
2017,Querétaro,Querétaro,220140001,64.11700774
2016,Querétaro,Querétaro,220140001,58.74387368
2015,Querétaro,Querétaro,220140001,56.65940106
2021 P/,Quintana Roo,,23,
2020,Quintana Roo,,23,
2019,Quintana Roo,,23,
2018,Quintana Roo,,23,83.06226979
2017,Quintana Roo,,23,85.35162917
2016,Quintana Roo,,23,83.85731137
2015,Quintana Roo,,23,76.8490388
2021 P/,Quintana Roo,Cancún,230050001,91.34785571
2020,Quintana Roo,Cancún,230050001,88.41792707
2019,Quintana Roo,Cancún,230050001,
2018,Quintana Roo,Cancún,230050001,81.67600412
2017,Quintana Roo,Cancún,230050001,80.8239755
2016,Quintana Roo,Cancún,230050001,76.96696695
2015,Quintana Roo,Cancún,230050001,70.5823727
2021 P/,San Luis Potosí,,24,
2020,San Luis Potosí,,24,
2019,San Luis Potosí,,24,
2018,San Luis Potosí,,24,81.82312417
2017,San Luis Potosí,,24,77.86864125
2016,San Luis Potosí,,24,75.11413276
2015,San Luis Potosí,,24,75.5526413
2021 P/,San Luis Potosí,San Luis Potosí,240280001,74.83394518
2020,San Luis Potosí,San Luis Potosí,240280001,67.1475171
2019,San Luis Potosí,San Luis Potosí,240280001,
2018,San Luis Potosí,San Luis Potosí,240280001,61.24270343
2017,San Luis Potosí,San Luis Potosí,240280001,57.77867582
2016,San Luis Potosí,San Luis Potosí,240280001,53.83146604
2015,San Luis Potosí,San Luis Potosí,240280001,50.87169081
2021 P/,Sinaloa,,25,
2020,Sinaloa,,25,
2019,Sinaloa,,25,
2018,Sinaloa,,25,82.99319327
2017,Sinaloa,,25,81.34673433
2016,Sinaloa,,25,76.94232955
2015,Sinaloa,,25,78.29623931
2021 P/,Sinaloa,Culiacán,250060001,
2020,Sinaloa,Culiacán,250060001,
2019,Sinaloa,Culiacán,250060001,
2018,Sinaloa,Culiacán,250060001,79.17675728
2017,Sinaloa,Culiacán,250060001,74.95422172
2016,Sinaloa,Culiacán,250060001,71.39825733
2015,Sinaloa,Culiacán,250060001,
2021 P/,Sinaloa,Mazatlán,250120001,77.98413372
2020,Sinaloa,Mazatlán,250120001,75.17777217
2019,Sinaloa,Mazatlán,250120001,
2018,Sinaloa,Mazatlán,250120001,70.24688149
2017,Sinaloa,Mazatlán,250120001,66.11889543
2016,Sinaloa,Mazatlán,250120001,63.0171408
2015,Sinaloa,Mazatlán,250120001,59.39805442
2021 P/,Sonora,,26,
2020,Sonora,,26,
2019,Sonora,,26,
2018,Sonora,,26,81.62587233
2017,Sonora,,26,78.27013374
2016,Sonora,,26,72.59619583
2015,Sonora,,26,
2021 P/,Sonora,Ciudad Obregón,260180001,
2020,Sonora,Ciudad Obregón,260180001,
2019,Sonora,Ciudad Obregón,260180001,
2018,Sonora,Ciudad Obregón,260180001,88.66001037
2017,Sonora,Ciudad Obregón,260180001,86.05102663
2016,Sonora,Ciudad Obregón,260180001,84.85567451
2015,Sonora,Ciudad Obregón,260180001,81.21944829
2021 P/,Sonora,Hermosillo,260300001,83.37417901
2020,Sonora,Hermosillo,260300001,85.46964547
2019,Sonora,Hermosillo,260300001,
2018,Sonora,Hermosillo,260300001,80.7003579
2017,Sonora,Hermosillo,260300001,81.05914964
2016,Sonora,Hermosillo,260300001,73.28526032
2015,Sonora,Hermosillo,260300001,69.7941245
2021 P/,Tabasco,,27,
2020,Tabasco,,27,
2019,Tabasco,,27,
2018,Tabasco,,27,76.53850155
2017,Tabasco,,27,78.96463874
2016,Tabasco,,27,76.26648777
2015,Tabasco,,27,69.17089304
2021 P/,Tabasco,Villahermosa,270040001,65.53465315
2020,Tabasco,Villahermosa,270040001,68.53312708
2019,Tabasco,Villahermosa,270040001,
2018,Tabasco,Villahermosa,270040001,54.96870433
2017,Tabasco,Villahermosa,270040001,60.70491866
2016,Tabasco,Villahermosa,270040001,57.30309675
2015,Tabasco,Villahermosa,270040001,47.60774015
2021 P/,Tamaulipas,,28,
2020,Tamaulipas,,28,
2019,Tamaulipas,,28,
